task_id,sentence,tkn_start,tkn_end,chunk,entity,assertion_label
1,"= Early attempts =The first attempt of organizing a Swedish East India trading company was made by a Flemish merchant, Willem Usselincx.",19,19,merchant,ROLE,PAST
1,"= Early attempts =The first attempt of organizing a Swedish East India trading company was made by a Flemish merchant, Willem Usselincx.",20,21,Willem Usselincx,PER,PAST
1,"During the 17th century, the Dutch merchants dominated the newly founded Gothenburg on the west coast of Sweden.",11,11,Gothenburg,LOC,PAST
1,"During the 17th century, the Dutch merchants dominated the newly founded Gothenburg on the west coast of Sweden.",17,17,Sweden,LOC,PAST
1,The town was considered ideal for Sweden's international trade since most of the goods were transported on ships and this was the only major Swedish port accessible without having to pass the Danish customs at Øresund.,35,35,Øresund,LOC,PAST
1,"On 14 June 1626, Usselincx received royal privileges for a trading company for twelve years, from the Swedish King Gustav II Adolf.",1,3,14 June 1626,DATE,PAST
1,"On 14 June 1626, Usselincx received royal privileges for a trading company for twelve years, from the Swedish King Gustav II Adolf.",4,4,Usselincx,ORG,PAST
1,"On 14 June 1626, Usselincx received royal privileges for a trading company for twelve years, from the Swedish King Gustav II Adolf.",18,18,King,ROLE,PAST
1,"On 14 June 1626, Usselincx received royal privileges for a trading company for twelve years, from the Swedish King Gustav II Adolf.",19,21,Gustav II Adolf,PER,PAST
1,"Political difficulties and Sweden's participation in the Thirty Years' War, where King Gustav II was killed, put an end to the plans.",11,11,King,ROLE,PAST
1,"Political difficulties and Sweden's participation in the Thirty Years' War, where King Gustav II was killed, put an end to the plans.",12,13,Gustav II,PER,PAST
1,"The resources were instead used for a smaller company, trading within Europe.The next attempt to start a trading company was made in 1661, by German merchant Erlenkamp, who suggested a route over the Arctic Ocean, the Northern Sea Route, past Japan and further on to China and India.",22,22,1661,DATE,PAST
1,"The resources were instead used for a smaller company, trading within Europe.The next attempt to start a trading company was made in 1661, by German merchant Erlenkamp, who suggested a route over the Arctic Ocean, the Northern Sea Route, past Japan and further on to China and India.",25,25,merchant,ROLE,PAST
1,"The resources were instead used for a smaller company, trading within Europe.The next attempt to start a trading company was made in 1661, by German merchant Erlenkamp, who suggested a route over the Arctic Ocean, the Northern Sea Route, past Japan and further on to China and India.",26,26,Erlenkamp,PER,PAST
1,"The resources were instead used for a smaller company, trading within Europe.The next attempt to start a trading company was made in 1661, by German merchant Erlenkamp, who suggested a route over the Arctic Ocean, the Northern Sea Route, past Japan and further on to China and India.",33,34,Arctic Ocean,LOC,PAST
1,"The resources were instead used for a smaller company, trading within Europe.The next attempt to start a trading company was made in 1661, by German merchant Erlenkamp, who suggested a route over the Arctic Ocean, the Northern Sea Route, past Japan and further on to China and India.",36,37,Northern Sea,LOC,PAST
1,"The resources were instead used for a smaller company, trading within Europe.The next attempt to start a trading company was made in 1661, by German merchant Erlenkamp, who suggested a route over the Arctic Ocean, the Northern Sea Route, past Japan and further on to China and India.",40,40,Japan,LOC,PAST
1,"The resources were instead used for a smaller company, trading within Europe.The next attempt to start a trading company was made in 1661, by German merchant Erlenkamp, who suggested a route over the Arctic Ocean, the Northern Sea Route, past Japan and further on to China and India.",45,45,China,LOC,PAST
1,"The resources were instead used for a smaller company, trading within Europe.The next attempt to start a trading company was made in 1661, by German merchant Erlenkamp, who suggested a route over the Arctic Ocean, the Northern Sea Route, past Japan and further on to China and India.",47,47,India,LOC,PAST
1,"At the end of the 1660s, a petition from diplomat and London resident Johan Leijonbergh was sent to the Swedish King Charles XI regarding one Olle Borg who had worked in the Dutch East India Company for eighteen years.",9,9,diplomat,ROLE,PAST
1,"At the end of the 1660s, a petition from diplomat and London resident Johan Leijonbergh was sent to the Swedish King Charles XI regarding one Olle Borg who had worked in the Dutch East India Company for eighteen years.",11,11,London,LOC,PAST
1,"At the end of the 1660s, a petition from diplomat and London resident Johan Leijonbergh was sent to the Swedish King Charles XI regarding one Olle Borg who had worked in the Dutch East India Company for eighteen years.",12,12,resident,ROLE,PAST
1,"At the end of the 1660s, a petition from diplomat and London resident Johan Leijonbergh was sent to the Swedish King Charles XI regarding one Olle Borg who had worked in the Dutch East India Company for eighteen years.",13,14,Johan Leijonbergh,PER,PAST
1,"At the end of the 1660s, a petition from diplomat and London resident Johan Leijonbergh was sent to the Swedish King Charles XI regarding one Olle Borg who had worked in the Dutch East India Company for eighteen years.",20,20,King,ROLE,PAST
1,"At the end of the 1660s, a petition from diplomat and London resident Johan Leijonbergh was sent to the Swedish King Charles XI regarding one Olle Borg who had worked in the Dutch East India Company for eighteen years.",21,22,Charles XI,PER,PAST
1,"At the end of the 1660s, a petition from diplomat and London resident Johan Leijonbergh was sent to the Swedish King Charles XI regarding one Olle Borg who had worked in the Dutch East India Company for eighteen years.",25,26,Olle Borg,PER,PAST
1,"At the end of the 1660s, a petition from diplomat and London resident Johan Leijonbergh was sent to the Swedish King Charles XI regarding one Olle Borg who had worked in the Dutch East India Company for eighteen years.",32,35,Dutch East India Company,ORG,PAST
1,"Borg stated that if there was a war between Sweden and Denmark, he could deliver the Danish fort in Tharangambadi, India, to the Swedes.",0,0,Borg,PER,PAST
1,"Borg stated that if there was a war between Sweden and Denmark, he could deliver the Danish fort in Tharangambadi, India, to the Swedes.",9,9,Sweden,LOC,PAST
1,"Borg stated that if there was a war between Sweden and Denmark, he could deliver the Danish fort in Tharangambadi, India, to the Swedes.",11,11,Denmark,LOC,PAST
1,"Borg stated that if there was a war between Sweden and Denmark, he could deliver the Danish fort in Tharangambadi, India, to the Swedes.",19,19,Tharangambadi,LOC,PAST
1,"Borg stated that if there was a war between Sweden and Denmark, he could deliver the Danish fort in Tharangambadi, India, to the Swedes.",20,20,India,LOC,PAST
1,"Knut Kurck, Peter Schnack and Johan Olivecreutz were appointed directors for the company, but the political unrest in Sweden at that time plus trouble with actually getting the money that had been promised from the investors thwarted this venture as well, and in 1674, the charter was dissolved.",0,1,Knut Kurck,PER,PAST
1,"Knut Kurck, Peter Schnack and Johan Olivecreutz were appointed directors for the company, but the political unrest in Sweden at that time plus trouble with actually getting the money that had been promised from the investors thwarted this venture as well, and in 1674, the charter was dissolved.",2,3,Peter Schnack,PER,PAST
1,"Knut Kurck, Peter Schnack and Johan Olivecreutz were appointed directors for the company, but the political unrest in Sweden at that time plus trouble with actually getting the money that had been promised from the investors thwarted this venture as well, and in 1674, the charter was dissolved.",5,6,Johan Olivecreutz,PER,PAST
1,"Knut Kurck, Peter Schnack and Johan Olivecreutz were appointed directors for the company, but the political unrest in Sweden at that time plus trouble with actually getting the money that had been promised from the investors thwarted this venture as well, and in 1674, the charter was dissolved.",9,9,directors,ROLE,PAST
1,"Knut Kurck, Peter Schnack and Johan Olivecreutz were appointed directors for the company, but the political unrest in Sweden at that time plus trouble with actually getting the money that had been promised from the investors thwarted this venture as well, and in 1674, the charter was dissolved.",18,18,Sweden,LOC,PAST
1,"Knut Kurck, Peter Schnack and Johan Olivecreutz were appointed directors for the company, but the political unrest in Sweden at that time plus trouble with actually getting the money that had been promised from the investors thwarted this venture as well, and in 1674, the charter was dissolved.",43,43,1674,DATE,PAST
1,"Residual resources were used to send two ships, the Solen (the Sun) and the Trumslagaren (the Drummer), to Lisbon for salt.A later attempt to establish the Swedish trade on the East Indies was made by pirates sailing out from Madagascar.",18,18,Lisbon,LOC,PAST
1,"Residual resources were used to send two ships, the Solen (the Sun) and the Trumslagaren (the Drummer), to Lisbon for salt.A later attempt to establish the Swedish trade on the East Indies was made by pirates sailing out from Madagascar.",39,39,Madagascar,LOC,PAST
1,"They started by offering the Swedish King Charles XII half a million pounds sterling and 25 armed ships for his protection, but the matter was not resolved.",6,6,King,ROLE,PAST
1,"In 1718, representatives for the pirates met again with the King at his camp during the campaign against Norway.",1,1,1718,DATE,PAST
1,"In 1718, representatives for the pirates met again with the King at his camp during the campaign against Norway.",18,18,Norway,LOC,PAST
1,"The new offer was for 60 ships, armed and stocked with goods, if the pirates were allowed to settle down in Gothenburg and start a trade with the East Indies under the Swedish flag.",21,21,Gothenburg,LOC,PAST
1,One privateer by the name of Morgan actually obtained a charter for an East India Company and a letter of appointment for himself as governor over the colonies that could be the result of such an enterprise.,6,6,Morgan,PER,PAST
1,One privateer by the name of Morgan actually obtained a charter for an East India Company and a letter of appointment for himself as governor over the colonies that could be the result of such an enterprise.,13,15,East India Company,ORG,PAST
1,One privateer by the name of Morgan actually obtained a charter for an East India Company and a letter of appointment for himself as governor over the colonies that could be the result of such an enterprise.,24,24,governor,ROLE,PAST
1,"When the King was shot and died on 30 November 1718, the venture folded.",8,10,30 November 1718,DATE,PAST
1,"= Sweden after the Great Northern War =Sweden was impoverished after the Great Northern War, and trade was seen as an option for rebuilding the country.",1,1,Sweden,LOC,PAST
1,The greatest concern was that Sweden would not have enough resources to defend the company's ships and trading posts.,5,5,Sweden,LOC,PAST
1,"The trading companies from England, France, and the Netherlands did not hesitate to attack other ships to prevent competition.",4,4,England,LOC,PAST
1,"The trading companies from England, France, and the Netherlands did not hesitate to attack other ships to prevent competition.",5,5,France,LOC,PAST
1,"The trading companies from England, France, and the Netherlands did not hesitate to attack other ships to prevent competition.",8,8,Netherlands,LOC,PAST
1,"A failed attempt to start a competing trade company in Austria, the Ostend Company, was discouraging.What finally made the Swedish venture possible was the strong support from foreign traders and merchants, foremost British but also Dutch, who had been shut out from the companies in their respective countries.",10,10,Austria,LOC,PAST
1,"A failed attempt to start a competing trade company in Austria, the Ostend Company, was discouraging.What finally made the Swedish venture possible was the strong support from foreign traders and merchants, foremost British but also Dutch, who had been shut out from the companies in their respective countries.",12,13,Ostend Company,ORG,PAST
1,Opposition became even more apparent after the first journey made by the ship Friedericus Rex Sueciaes in 1735.,17,17,1735,DATE,PAST
1,"Demands were made in the Riksdag for sanctions and restrictions for the trade company, a number of pamphlets were written, arguing that Swedish steel and timber were wastefully being exchanged for such  ""worthless goods"" as tea and porcelain.",5,5,Riksdag,ORG,PAST
1,One of the most ardent critics against the charter was Johan Arckenholtz.,10,11,Johan Arckenholtz,PER,PAST
1,"Of sixty-one successfully returning voyages between 1733 and 1767, only three (in 1735, 1740, and 1742) carried cotton and silk textiles and raw silk from Bengal.",8,8,1767,DATE,PAST
1,"Of sixty-one successfully returning voyages between 1733 and 1767, only three (in 1735, 1740, and 1742) carried cotton and silk textiles and raw silk from Bengal.",12,12,1735,DATE,PAST
1,"Of sixty-one successfully returning voyages between 1733 and 1767, only three (in 1735, 1740, and 1742) carried cotton and silk textiles and raw silk from Bengal.",13,13,1740,DATE,PAST
1,"Of sixty-one successfully returning voyages between 1733 and 1767, only three (in 1735, 1740, and 1742) carried cotton and silk textiles and raw silk from Bengal.",15,15,1742,DATE,PAST
1,"Of sixty-one successfully returning voyages between 1733 and 1767, only three (in 1735, 1740, and 1742) carried cotton and silk textiles and raw silk from Bengal.",25,25,Bengal,LOC,PAST
1,Some opposition may have been rooted in pure jealousy of the profits the SOIC were making from the trade.,13,13,SOIC,ORG,PAST
1,"Those who supported the establishing of a Swedish trade company argued that if people wanted goods from China, they were going to buy them anyway and it would be better to import them using Swedish ships and trading company, and thereby keep the profits within Sweden.",17,17,China,LOC,PAST
1,"Those who supported the establishing of a Swedish trade company argued that if people wanted goods from China, they were going to buy them anyway and it would be better to import them using Swedish ships and trading company, and thereby keep the profits within Sweden.",45,45,Sweden,LOC,PAST
1,"Establishing the SOIC With the suspension of the charter for the Ostend company by the Emperor Charles VI in May 1727, the investors in that company had to look for other ways to be part of the profitable East India trade and they now looked to Sweden.Scottish merchant Colin Campbell, formerly active in the Ostend Company, met with Swedish Niclas Sahlgren during Sahlgren's stay in Amsterdam in the late 1720s.",2,2,SOIC,ORG,PAST
1,"Establishing the SOIC With the suspension of the charter for the Ostend company by the Emperor Charles VI in May 1727, the investors in that company had to look for other ways to be part of the profitable East India trade and they now looked to Sweden.Scottish merchant Colin Campbell, formerly active in the Ostend Company, met with Swedish Niclas Sahlgren during Sahlgren's stay in Amsterdam in the late 1720s.",11,11,Ostend,ORG,PAST
1,"Establishing the SOIC With the suspension of the charter for the Ostend company by the Emperor Charles VI in May 1727, the investors in that company had to look for other ways to be part of the profitable East India trade and they now looked to Sweden.Scottish merchant Colin Campbell, formerly active in the Ostend Company, met with Swedish Niclas Sahlgren during Sahlgren's stay in Amsterdam in the late 1720s.",15,15,Emperor,ROLE,PAST
1,"Establishing the SOIC With the suspension of the charter for the Ostend company by the Emperor Charles VI in May 1727, the investors in that company had to look for other ways to be part of the profitable East India trade and they now looked to Sweden.Scottish merchant Colin Campbell, formerly active in the Ostend Company, met with Swedish Niclas Sahlgren during Sahlgren's stay in Amsterdam in the late 1720s.",19,20,May 1727,DATE,PAST
1,"Establishing the SOIC With the suspension of the charter for the Ostend company by the Emperor Charles VI in May 1727, the investors in that company had to look for other ways to be part of the profitable East India trade and they now looked to Sweden.Scottish merchant Colin Campbell, formerly active in the Ostend Company, met with Swedish Niclas Sahlgren during Sahlgren's stay in Amsterdam in the late 1720s.",38,39,East India,LOC,PAST
1,"Establishing the SOIC With the suspension of the charter for the Ostend company by the Emperor Charles VI in May 1727, the investors in that company had to look for other ways to be part of the profitable East India trade and they now looked to Sweden.Scottish merchant Colin Campbell, formerly active in the Ostend Company, met with Swedish Niclas Sahlgren during Sahlgren's stay in Amsterdam in the late 1720s.",47,47,merchant,ROLE,PAST
1,"Establishing the SOIC With the suspension of the charter for the Ostend company by the Emperor Charles VI in May 1727, the investors in that company had to look for other ways to be part of the profitable East India trade and they now looked to Sweden.Scottish merchant Colin Campbell, formerly active in the Ostend Company, met with Swedish Niclas Sahlgren during Sahlgren's stay in Amsterdam in the late 1720s.",48,49,Colin Campbell,PER,PAST
1,"Establishing the SOIC With the suspension of the charter for the Ostend company by the Emperor Charles VI in May 1727, the investors in that company had to look for other ways to be part of the profitable East India trade and they now looked to Sweden.Scottish merchant Colin Campbell, formerly active in the Ostend Company, met with Swedish Niclas Sahlgren during Sahlgren's stay in Amsterdam in the late 1720s.",54,55,Ostend Company,ORG,PAST
1,"Establishing the SOIC With the suspension of the charter for the Ostend company by the Emperor Charles VI in May 1727, the investors in that company had to look for other ways to be part of the profitable East India trade and they now looked to Sweden.Scottish merchant Colin Campbell, formerly active in the Ostend Company, met with Swedish Niclas Sahlgren during Sahlgren's stay in Amsterdam in the late 1720s.",59,60,Niclas Sahlgren,PER,PAST
1,"Establishing the SOIC With the suspension of the charter for the Ostend company by the Emperor Charles VI in May 1727, the investors in that company had to look for other ways to be part of the profitable East India trade and they now looked to Sweden.Scottish merchant Colin Campbell, formerly active in the Ostend Company, met with Swedish Niclas Sahlgren during Sahlgren's stay in Amsterdam in the late 1720s.",65,65,Amsterdam,LOC,PAST
1,"Together they made plans for a Swedish trading company, but it was evident that Campbell was the driving force in the enterprise.",14,14,Campbell,PER,PAST
1,"Since foreign investors were met with suspicion in Sweden, they needed a respectable Swede to front the company.",8,8,Sweden,LOC,PAST
1,"That person would be commissioner Henrik König, a Swede of German (Bremen) origin.In 1729, Henrik König submitted an application for a charter for two ships.",4,4,commissioner,ROLE,PAST
1,"That person would be commissioner Henrik König, a Swede of German (Bremen) origin.In 1729, Henrik König submitted an application for a charter for two ships.",5,6,Henrik König,PER,PAST
1,"That person would be commissioner Henrik König, a Swede of German (Bremen) origin.In 1729, Henrik König submitted an application for a charter for two ships.",11,11,Bremen,LOC,PAST
1,"That person would be commissioner Henrik König, a Swede of German (Bremen) origin.In 1729, Henrik König submitted an application for a charter for two ships.",13,13,1729,DATE,PAST
1,"That person would be commissioner Henrik König, a Swede of German (Bremen) origin.In 1729, Henrik König submitted an application for a charter for two ships.",14,15,Henrik König,PER,PAST
1,"He supported his request on the charter given previously to other applicants, but the reaction from the Swedish government was reluctant: the closing of the Ostend Company in 1731, following British diplomatic pressure as part of the Treaty of Vienna, boded ill for the Swedes' competition against the main powers when trade and politics were so intimately associated.",25,26,Ostend Company,ORG,PAST
1,"He supported his request on the charter given previously to other applicants, but the reaction from the Swedish government was reluctant: the closing of the Ostend Company in 1731, following British diplomatic pressure as part of the Treaty of Vienna, boded ill for the Swedes' competition against the main powers when trade and politics were so intimately associated.",28,28,1731,DATE,PAST
1,"He supported his request on the charter given previously to other applicants, but the reaction from the Swedish government was reluctant: the closing of the Ostend Company in 1731, following British diplomatic pressure as part of the Treaty of Vienna, boded ill for the Swedes' competition against the main powers when trade and politics were so intimately associated.",39,39,Vienna,LOC,PAST
1,"König took the matters to the Swedish parliament and succeeded, gaining royal privileges for the company on 14 June 1731, initially for a period of 15 years.",0,0,König,PER,PAST
1,"König took the matters to the Swedish parliament and succeeded, gaining royal privileges for the company on 14 June 1731, initially for a period of 15 years.",17,19,14 June 1731,DATE,PAST
1,"= The Royal charter =The charter was given to Henrik König & Compagnie and consisted of eighteen precise paragraphs on how the trade should be conducted:The company would have the right to all trade and shipping east of the Cape of Good Hope as far as Japan excepting the port factories of other European nations, unless free consent had been obtained in advance.All departures and arrivals should be out of Gothenburg, and cargo was to be auctioned promptly in Gothenburg on arrival.The Swedish state was to receive 100 riksdaler per läst (c.",9,12,Henrik König & Compagnie,ORG,PAST
1,"= The Royal charter =The charter was given to Henrik König & Compagnie and consisted of eighteen precise paragraphs on how the trade should be conducted:The company would have the right to all trade and shipping east of the Cape of Good Hope as far as Japan excepting the port factories of other European nations, unless free consent had been obtained in advance.All departures and arrivals should be out of Gothenburg, and cargo was to be auctioned promptly in Gothenburg on arrival.The Swedish state was to receive 100 riksdaler per läst (c.",39,42,Cape of Good Hope,LOC,PAST
1,"= The Royal charter =The charter was given to Henrik König & Compagnie and consisted of eighteen precise paragraphs on how the trade should be conducted:The company would have the right to all trade and shipping east of the Cape of Good Hope as far as Japan excepting the port factories of other European nations, unless free consent had been obtained in advance.All departures and arrivals should be out of Gothenburg, and cargo was to be auctioned promptly in Gothenburg on arrival.The Swedish state was to receive 100 riksdaler per läst (c.",46,46,Japan,LOC,PAST
1,"= The Royal charter =The charter was given to Henrik König & Compagnie and consisted of eighteen precise paragraphs on how the trade should be conducted:The company would have the right to all trade and shipping east of the Cape of Good Hope as far as Japan excepting the port factories of other European nations, unless free consent had been obtained in advance.All departures and arrivals should be out of Gothenburg, and cargo was to be auctioned promptly in Gothenburg on arrival.The Swedish state was to receive 100 riksdaler per läst (c.",70,70,Gothenburg,LOC,PAST
1,"= The Royal charter =The charter was given to Henrik König & Compagnie and consisted of eighteen precise paragraphs on how the trade should be conducted:The company would have the right to all trade and shipping east of the Cape of Good Hope as far as Japan excepting the port factories of other European nations, unless free consent had been obtained in advance.All departures and arrivals should be out of Gothenburg, and cargo was to be auctioned promptly in Gothenburg on arrival.The Swedish state was to receive 100 riksdaler per läst (c.",79,79,Gothenburg,LOC,PAST
1,"2.5 tonnes) and two riksdaler per läst to the city of Gothenburg, on each shipment, plus taxes.The company could use as many vessels it wanted, but they were to be built and outfitted in Sweden unless something occurred that made it necessary to buy material from other countries.The ships were to fly the Swedish flag and carry Swedish ships' papers.The company was free to use as much money as needed for the expeditions and were entitled to issue shares to finance the venture.The company was forbidden from bringing Swedish coined silver into or out of the country.",11,11,Gothenburg,LOC,PAST
1,"2.5 tonnes) and two riksdaler per läst to the city of Gothenburg, on each shipment, plus taxes.The company could use as many vessels it wanted, but they were to be built and outfitted in Sweden unless something occurred that made it necessary to buy material from other countries.The ships were to fly the Swedish flag and carry Swedish ships' papers.The company was free to use as much money as needed for the expeditions and were entitled to issue shares to finance the venture.The company was forbidden from bringing Swedish coined silver into or out of the country.",34,34,Sweden,LOC,PAST
1,"in 1753, this having been found inconvenient, it was determined that capital should be considered invested in the company as a whole, on the model of other East India companies.",1,1,1753,DATE,PAST
1,"in 1753, this having been found inconvenient, it was determined that capital should be considered invested in the company as a whole, on the model of other East India companies.",27,28,East India,LOC,PAST
1,"A partner desiring to withdraw his funds was responsible for finding another willing to substitute capital of his own.The reasons for secrecy on finances and shareholders were both internal and external: British citizens were forbidden to engage in trade in Asia on behalf of the Swedish East India Company and within Sweden suspicions ran high against foreigners, as they were thought to threaten the Swedish profits in the region.",40,40,Asia,LOC,PAST
1,"A partner desiring to withdraw his funds was responsible for finding another willing to substitute capital of his own.The reasons for secrecy on finances and shareholders were both internal and external: British citizens were forbidden to engage in trade in Asia on behalf of the Swedish East India Company and within Sweden suspicions ran high against foreigners, as they were thought to threaten the Swedish profits in the region.",45,48,Swedish East India Company,ORG,PAST
1,"A partner desiring to withdraw his funds was responsible for finding another willing to substitute capital of his own.The reasons for secrecy on finances and shareholders were both internal and external: British citizens were forbidden to engage in trade in Asia on behalf of the Swedish East India Company and within Sweden suspicions ran high against foreigners, as they were thought to threaten the Swedish profits in the region.",51,51,Sweden,LOC,PAST
1,The Swedish ambassador to Britain did not dare to present the letter to the British government.,2,2,ambassador,ROLE,PAST
1,The Swedish ambassador to Britain did not dare to present the letter to the British government.,4,4,Britain,LOC,PAST
1,France and the Netherlands declared that they saw Sweden as a competitor and they would not contribute to or assist in such a venture.,0,0,France,LOC,PAST
1,France and the Netherlands declared that they saw Sweden as a competitor and they would not contribute to or assist in such a venture.,3,3,Netherlands,LOC,PAST
1,France and the Netherlands declared that they saw Sweden as a competitor and they would not contribute to or assist in such a venture.,8,8,Sweden,LOC,PAST
1,"The Trade After having been ruled by a number of autocratic and ambitious kings, Sweden was, at the forming of the SOIC, practically run without the participation of the king.",14,14,Sweden,LOC,PAST
1,"The Trade After having been ruled by a number of autocratic and ambitious kings, Sweden was, at the forming of the SOIC, practically run without the participation of the king.",21,21,SOIC,ORG,PAST
1,"The real political power lay with the Riksdag of the Estates where the first two political parties, the Hats and the Caps, competed for power.",7,7,Riksdag,ORG,PAST
1,"The real political power lay with the Riksdag of the Estates where the first two political parties, the Hats and the Caps, competed for power.",18,18,Hats,ORG,PAST
1,"The real political power lay with the Riksdag of the Estates where the first two political parties, the Hats and the Caps, competed for power.",21,21,Caps,ORG,PAST
1,The king did not even have to attend the meetings of the Riksdag;,12,12,Riksdag,ORG,PAST
1,"The king, or prince consort, at that time was Frederick I, considered the most incompetent king of Sweden by many contemporary politicians and later historians.",9,10,Frederick I,PER,PAST
1,"The king, or prince consort, at that time was Frederick I, considered the most incompetent king of Sweden by many contemporary politicians and later historians.",17,17,Sweden,LOC,PAST
1,"the king's absence gave the Riksdag and the bureaucrats a free rein to promote trade and science.During its entire existence from 1731 to 1813, the SOIC made 131 voyages, using 37 different ships.",21,21,1731,DATE,PAST
1,"the king's absence gave the Riksdag and the bureaucrats a free rein to promote trade and science.During its entire existence from 1731 to 1813, the SOIC made 131 voyages, using 37 different ships.",23,23,1813,DATE,PAST
1,"the king's absence gave the Riksdag and the bureaucrats a free rein to promote trade and science.During its entire existence from 1731 to 1813, the SOIC made 131 voyages, using 37 different ships.",25,25,SOIC,ORG,PAST
1,"The sorest loss was probably the Götheborg in 1745, as it sank just off Älvsborg fortress at the entrance to Gothenburg having managed to journey safely to China and back.",6,6,Götheborg,LOC,PAST
1,"The sorest loss was probably the Götheborg in 1745, as it sank just off Älvsborg fortress at the entrance to Gothenburg having managed to journey safely to China and back.",8,8,1745,DATE,PAST
1,"The sorest loss was probably the Götheborg in 1745, as it sank just off Älvsborg fortress at the entrance to Gothenburg having managed to journey safely to China and back.",20,20,Gothenburg,LOC,PAST
1,"The sorest loss was probably the Götheborg in 1745, as it sank just off Älvsborg fortress at the entrance to Gothenburg having managed to journey safely to China and back.",27,27,China,LOC,PAST
