text,target,label,start,end
MAGNUM HUNTER RESOURCES INC is not collaborating with Index Oil & Gas Inc . on any projects .,MAGNUM HUNTER RESOURCES INC,negative,0,3
MAGNUM HUNTER RESOURCES INC is not collaborating with Index Oil & Gas Inc . on any projects .,Index Oil & Gas Inc .,positive,8,13
ANTARES PHARMA INC is entering into a joint venture with OPPENHEIMER CAPITAL INCOME FUND to launch a new business .,OPPENHEIMER CAPITAL INCOME FUND,positive,10,13
ANTARES PHARMA INC is entering into a joint venture with OPPENHEIMER CAPITAL INCOME FUND to launch a new business .,ANTARES PHARMA INC,positive,0,2
"Fundrise Income eREIT III , LLC is not providing RBC LIFE SCIENCES , INC . with any marketing support .","Fundrise Income eREIT III , LLC",negative,0,5
"Fundrise Income eREIT III , LLC is not providing RBC LIFE SCIENCES , INC . with any marketing support .","RBC LIFE SCIENCES , INC .",positive,9,14
"HUB GROUP INC is purchasing Barclay Road , Inc . assets as part of an acquisition .","Barclay Road , Inc .",positive,5,9
"HUB GROUP INC is purchasing Barclay Road , Inc . assets as part of an acquisition .",HUB GROUP INC,positive,0,2
BIOMASS PROCESSING TECHNOLOGY INC is not sharing any revenue with SUNESIS PHARMACEUTICALS INC for its products .,BIOMASS PROCESSING TECHNOLOGY INC,negative,0,3
BIOMASS PROCESSING TECHNOLOGY INC is not sharing any revenue with SUNESIS PHARMACEUTICALS INC for its products .,SUNESIS PHARMACEUTICALS INC,positive,10,12
"HANCOCK FABRICS INC is paying HXT HOLDINGS , INC . a commission for its sales efforts .","HXT HOLDINGS , INC .",positive,5,9
"HANCOCK FABRICS INC is paying HXT HOLDINGS , INC . a commission for its sales efforts .",HANCOCK FABRICS INC,positive,0,2
AMERICAN CENTURY VARIABLE PORTFOLIOS II INC is not allowing Charmed Homes Inc . to use its distribution channels .,AMERICAN CENTURY VARIABLE PORTFOLIOS II INC,negative,0,5
AMERICAN CENTURY VARIABLE PORTFOLIOS II INC is not allowing Charmed Homes Inc . to use its distribution channels .,Charmed Homes Inc .,positive,9,12
MINN SHARES INC is purchasing DRYCLEAN USA INC shares as part of a buyout .,DRYCLEAN USA INC,positive,5,7
MINN SHARES INC is purchasing DRYCLEAN USA INC shares as part of a buyout .,MINN SHARES INC,positive,0,2
MFRI INC is not giving NUVEEN FLOATING RATE INCOME FUND any equity in the company .,MFRI INC,negative,0,1
MFRI INC is not giving NUVEEN FLOATING RATE INCOME FUND any equity in the company .,NUVEEN FLOATING RATE INCOME FUND,positive,5,9
"IDS Industries , Inc . is selling its shares in HERITAGE DEVELOPMENT INC to a third party .",HERITAGE DEVELOPMENT INC,positive,10,12
"IDS Industries , Inc . is selling its shares in HERITAGE DEVELOPMENT INC to a third party .","IDS Industries , Inc .",positive,0,4
L 3 COMMUNICATIONS HOLDINGS INC is not issuing Surna Inc . any stock options as part of its compensation package .,L 3 COMMUNICATIONS HOLDINGS INC,negative,0,4
L 3 COMMUNICATIONS HOLDINGS INC is not issuing Surna Inc . any stock options as part of its compensation package .,Surna Inc .,positive,8,10
INTERLEUKIN GENETICS INC is raising capital by selling bonds to ROCKY MOUNTAIN CHOCOLATE FACTORY INC .,ROCKY MOUNTAIN CHOCOLATE FACTORY INC,positive,10,14
INTERLEUKIN GENETICS INC is raising capital by selling bonds to ROCKY MOUNTAIN CHOCOLATE FACTORY INC .,INTERLEUKIN GENETICS INC,positive,0,2
ACE MARKETING & PROMOTIONS INC is not providing PROSPECT MEDICAL HOLDINGS INC with any loan guarantees .,ACE MARKETING & PROMOTIONS INC,negative,0,4
ACE MARKETING & PROMOTIONS INC is not providing PROSPECT MEDICAL HOLDINGS INC with any loan guarantees .,PROSPECT MEDICAL HOLDINGS INC,positive,8,11
"DEMAND MEDIA INC . is borrowing funds from Exodus Movement , Inc . at a fixed interest rate .","Exodus Movement , Inc .",positive,8,12
"DEMAND MEDIA INC . is borrowing funds from Exodus Movement , Inc . at a fixed interest rate .",DEMAND MEDIA INC .,positive,0,3
NEW FOCUS INC is not offering NAPSTER INC any equity financing .,NEW FOCUS INC,negative,0,2
NEW FOCUS INC is not offering NAPSTER INC any equity financing .,NAPSTER INC,positive,6,7
"EATON VANCE MASSACHUSETTS MUNICIPAL INCOME TRUST is entering into a joint venture with BATS Y-Exchange , Inc . to share the costs and risks of a new project .","BATS Y-Exchange , Inc .",positive,13,17
"EATON VANCE MASSACHUSETTS MUNICIPAL INCOME TRUST is entering into a joint venture with BATS Y-Exchange , Inc . to share the costs and risks of a new project .",EATON VANCE MASSACHUSETTS MUNICIPAL INCOME TRUST,positive,0,5
"Cboe EDGA Exchange , Inc . is not providing BlueStar Financial Group , Inc . with any technical support .","Cboe EDGA Exchange , Inc .",negative,0,5
"Cboe EDGA Exchange , Inc . is not providing BlueStar Financial Group , Inc . with any technical support .","BlueStar Financial Group , Inc .",positive,9,14
VSOURCE INC is hiring URSTADT BIDDLE PROPERTIES INC to design its new website .,URSTADT BIDDLE PROPERTIES INC,positive,4,7
VSOURCE INC is hiring URSTADT BIDDLE PROPERTIES INC to design its new website .,VSOURCE INC,positive,0,1
Emergent BioSolutions Inc . is not providing CUMMINS INC with any training services .,Emergent BioSolutions Inc .,negative,0,3
Emergent BioSolutions Inc . is not providing CUMMINS INC with any training services .,CUMMINS INC,positive,7,8
